Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2018.02.05_15.11.17,-8.655394,52.138499,23,B,3,LTE,-106,-8,7.0,6,-91,1,0,D,-109.0,-12.0,-8.664269,52.116961,2470.3600000000001
2018.02.05_15.11.18,-8.655394,52.138499,23,B,3,LTE,-106,-8,7.0,6,-91,0,0,D,-109.0,-12.0,-8.664269,52.116961,2470.3600000000001
2018.02.05_15.11.19,-8.655394,52.138499,23,B,3,LTE,-109,-11,8.0,5,-93,0,0,D,-111.0,-14.0,-8.664269,52.116961,2470.3600000000001
2018.02.05_15.11.20,-8.655394,52.138499,23,B,3,LTE,-109,-11,8.0,13,-91,0,0,D,-111.0,-14.0,-8.664269,52.116961,2470.3600000000001
2018.02.05_15.11.21,-8.655394,52.138499,23,B,3,LTE,-108,-11,11.0,13,-91,0,0,D,-109.0,-13.0,-8.664269,52.116961,2470.3600000000001
2018.02.05_15.11.23,-8.655394,52.138499,23,B,3,LTE,-108,-11,11.0,5,-93,0,0,D,-109.0,-13.0,-8.664269,52.116961,2470.3600000000001
2018.02.05_15.11.24,-8.655394,52.138499,23,B,3,LTE,-108,-15,-1.0,8,-91,0,0,D,-105.0,-14.0,-8.664269,52.116961,2470.3600000000001
2018.02.05_15.11.25,-8.655394,52.138499,23,B,3,LTE,-108,-15,-2.0,8,-94,0,0,D,-105.0,-14.0,-8.664269,52.116961,2470.3600000000001
2018.02.05_15.11.26,-8.655394,52.138499,23,B,3,LTE,-111,-13,-2.0,9,-92,726,34,D,-109.0,-11.0,-8.664269,52.116961,2470.3600000000001
2018.02.05_15.11.27,-8.655394,52.138499,23,B,3,LTE,-111,-13,-2.0,8,-94,4216,154,D,-109.0,-11.0,-8.664269,52.116961,2470.3600000000001
2018.02.05_15.11.28,-8.655394,52.138499,23,B,3,LTE,-112,-14,1.0,8,-94,402,8,D,-107.0,-13.0,-8.664269,52.116961,2470.3600000000001
2018.02.05_15.11.29,-8.655394,52.138499,23,B,3,LTE,-112,-14,1.0,1,-94,123,4,D,-107.0,-13.0,-8.664269,52.116961,2470.3600000000001
2018.02.05_15.11.30,-8.655394,52.138499,23,B,3,LTE,-116,-16,-4.0,1,-94,201,5,D,-115.0,-18.0,-8.664269,52.116961,2470.3600000000001
